LON	LAT	TIPO	name	alt_name
-16.8411461757537	28.3464737995696	CAPTA-GALERÍA CONVENCIONAL	Galería las Lindas	
-16.8042112743203	28.30247726527	CAPTA-GALERÍA CONVENCIONAL	Galería los Arrastraderos	
-16.8385304475121	28.3397047906717	CAPTA-GALERÍA CONVENCIONAL	Galería Hijuela de Taco	Galería las Huertas
-16.8457764985922	28.3240129767221	CAPTA-GALERÍA CONVENCIONAL	Galería Virgen del Carmen	
-16.8397867792047	28.3267831233189	CAPTA-GALERÍA CONVENCIONAL	Galería Unión Portela y Laderno	
-16.7958383774381	28.3424214612891	CAPTA-GALERÍA CONVENCIONAL	Galería el Cubo 1	
-16.8125624940979	28.3535798908801	CAPTA-GALERÍA CONVENCIONAL	Galería la Isleta 2	
-16.8073252905249	28.3352758231303	CAPTA-GALERÍA CONVENCIONAL	Galería Río de Erjos	
-16.8070565410375	28.3302437832719	CAPTA-GALERÍA CONVENCIONAL	Galería Cuevas Negras	
-16.8041587639217	28.3482767435342	CAPTA-GALERÍA CONVENCIONAL	Galería la Tierra del Trigo	
-16.7913217431869	28.3528769739301	CAPTA-GALERÍA CONVENCIONAL	Galería las Lajas 1	
-16.8509047541305	28.3321645954531	CAPTA-GALERÍA CONVENCIONAL	Galería el Palmar	Galería Carrizal; Galería Túnel de Masca
-16.8158306426848	28.2667670173213	CAPTA-GALERÍA CONVENCIONAL	Galería la Cerca de la Fortuna	
-16.7979573339931	28.3101493345555	CAPTA-GALERÍA CONVENCIONAL	Galería San Fernando 3	
-16.4245754494709	28.3191335570735	CAPTA-GALERÍA CONVENCIONAL	Galería el Campanario	
-16.7782202730815	28.2374085700702	CAPTA-GALERÍA CONVENCIONAL	Galería el Mojón	
-16.7952543394393	28.22803505531	CAPTA-GALERÍA CONVENCIONAL	Galería Hoya de los Cardos	
-16.4446777361237	28.2745898678908	CAPTA-GALERÍA CONVENCIONAL	Galería el Corbacho	
-16.4428438898899	28.2852681773126	CAPTA-GALERÍA CONVENCIONAL	Galería San José	Galería Aguas de San José
-16.4153562139665	28.2806640626663	CAPTA-GALERÍA CONVENCIONAL	Galería Siete Fuentes	
-16.4295300511825	28.2991447822278	CAPTA-GALERÍA CONVENCIONAL	Galería Acaymo	
-16.4385566562274	28.3046095635569	CAPTA-GALERÍA CONVENCIONAL	Galería el Almagre	
-16.4433179991563	28.3037831260239	CAPTA-GALERÍA CONVENCIONAL	Galería Aceviño 1	
-16.4420205374648	28.3036073067472	CAPTA-GALERÍA CONVENCIONAL	Galería Nuestra Señora del Socorro	
-16.4170603743118	28.3500062252488	CAPTA-GALERÍA CONVENCIONAL	Galería Cueva de las Colmenas	
-16.447414110657	28.3208607301743	CAPTA-GALERÍA CONVENCIONAL	Galería Chiñico	
-16.7928124712528	28.2160554259181	CAPTA-GALERÍA CONVENCIONAL	Galería la Vuelta Grande de Guía	
-16.4443369206722	28.3278698794603	CAPTA-GALERÍA CONVENCIONAL	Galería Pino de las Vistas	
-16.4413776180194	28.3262585744716	CAPTA-GALERÍA CONVENCIONAL	Galería las Vistas	
-16.4366149219726	28.3551084703907	CAPTA-GALERÍA CONVENCIONAL	Galería el Aderno 1	
-16.4370799538302	28.3456992432325	CAPTA-GALERÍA CONVENCIONAL	Galería Lomo Cambado	
-16.4126971470438	28.3579576722469	CAPTA-GALERÍA CONVENCIONAL	Galería Salto del Barrero	
-16.4447615642298	28.3419177252237	CAPTA-GALERÍA CONVENCIONAL	Galería la Saleta	
-16.4321309290075	28.3524480608051	CAPTA-GALERÍA CONVENCIONAL	Galería Corral del Guanche	
-16.4473432429396	28.3412224839753	CAPTA-GALERÍA CONVENCIONAL	Galería Risco Azul	
-16.4256445723788	28.3472723386699	CAPTA-GALERÍA CONVENCIONAL	Galería el Nuevo Caudal	
-16.4922988487301	28.3572359741764	CAPTA-GALERÍA CONVENCIONAL	Galería el Moral	Galería los Órganos
